Date,Open,High,Low,Close
29-Oct-2015,"304,32","318,17","301,82","313,86"
28-Oct-2015,"293,7","306,33","293,7","304,62"
27-Oct-2015,"285,18","296,21","285,01","293,79"
26-Oct-2015,"283,63","285,3","280,51","285,3"
25-Oct-2015,"281,45","294,06","281,45","283,68"
24-Oct-2015,"276,5","281,71","276,5","281,65"
23-Oct-2015,"273,65","278,68","273,54","276,5"
22-Oct-2015,"266,5","276,51","266,14","274,02"
21-Oct-2015,"269,31","270,77","263,84","266,27"
20-Oct-2015,"263,57","270,84","263,23","269,46"
19-Oct-2015,"261,86","264,82","260,95","263,44"
18-Oct-2015,"270,91","271,67","260,78","261,64"
17-Oct-2015,"262,75","273,58","262,37","270,64"
16-Oct-2015,"254,3","266,14","253,93","262,87"
15-Oct-2015,"252,11","255,96","252,05","254,32"
14-Oct-2015,"249,49","254,28","248,9","251,99"
13-Oct-2015,"245,2","250,24","243,76","249,51"
12-Oct-2015,"246,88","247,45","245,18","245,31"
11-Oct-2015,"244,74","247,24","244,15","247,05"
10-Oct-2015,"243,74","245,32","243,07","244,94"
09-Oct-2015,"242,5","244,23","242,12","243,93"
08-Oct-2015,"243,08","244,25","242,18","242,3"
07-Oct-2015,"246,17","246,68","242,59","242,97"
06-Oct-2015,"240,36","246,94","240,14","246,06"
05-Oct-2015,"238,15","240,38","237,04","240,38"
04-Oct-2015,"238,53","238,97","237,94","238,26"
03-Oct-2015,"237,2","239,32","236,94","238,73"
02-Oct-2015,"237,26","238,54","236,6","237,29"
01-Oct-2015,"236","238,45","235,62","237,55"
30-Sep-2015,"236,64","237,73","235,63","236,06"
29-Sep-2015,"239,02","239,8","235,93","236,69"
28-Sep-2015,"232,84","239,34","232,47","239,14"
27-Sep-2015,"234,14","234,53","232,48","232,76"
26-Sep-2015,"235,08","235,4","233,36","234,34"
25-Sep-2015,"234,36","237,43","233,68","235,14"
24-Sep-2015,"230,36","235,65","230,3","234,53"
23-Sep-2015,"230,94","231,84","229,59","230,28"
22-Sep-2015,"226,97","232,39","225,12","230,62"
21-Sep-2015,"231,22","231,22","226,52","227,09"
20-Sep-2015,"231,4","232,37","230,91","231,21"
19-Sep-2015,"232,86","233,21","231,09","231,49"
18-Sep-2015,"233,52","234,35","232,19","232,98"
17-Sep-2015,"229,08","230,29","228,93","229,81"
16-Sep-2015,"230,25","231,22","227,4","229,09"
15-Sep-2015,"230,49","259,18","229,82","230,3"
14-Sep-2015,"230,61","232,44","227,96","230,64"
13-Sep-2015,"235,24","235,94","229,33","230,51"
12-Sep-2015,"239,86","240,12","234,75","235,23"
11-Sep-2015,"238,33","241,17","238,33","240,11"
10-Sep-2015,"238,34","241,29","235,79","238,48"
09-Sep-2015,"243,42","244,42","237,82","238,17"
08-Sep-2015,"239,85","245,78","239,68","243,61"
07-Sep-2015,"239,93","242,11","238,72","239,85"
06-Sep-2015,"234,87","242,91","234,68","239,84"
05-Sep-2015,"230,2","236,14","229,44","235,02"
04-Sep-2015,"227,22","230,9","227,05","230,3"
03-Sep-2015,"229,32","229,61","226,67","227,18"
02-Sep-2015,"228,03","230,58","226,48","229,28"
01-Sep-2015,"230,26","231,22","226,86","228,12"
31-Aug-2015,"229,11","231,96","225,92","230,06"
30-Aug-2015,"229,9","232,07","226,25","228,76"
29-Aug-2015,"231,55","233,22","227,33","229,78"
28-Aug-2015,"224,7","235,22","220,93","231,4"
27-Aug-2015,"226,05","228,64","223,68","224,77"
26-Aug-2015,"222,08","231,18","220,2","225,83"
25-Aug-2015,"210,07","226,32","199,57","221,61"
24-Aug-2015,"228,11","228,14","210,44","210,5"
23-Aug-2015,"230,38","232,71","225,58","228,17"
22-Aug-2015,"232,66","234,96","222,7","230,39"
21-Aug-2015,"235,36","236,43","231,72","232,57"
20-Aug-2015,"226,9","237,37","226,9","235,35"
19-Aug-2015,"225,67","237,41","222,77","226,68"
18-Aug-2015,"257,93","257,99","211,08","211,08"
17-Aug-2015,"258,49","260,51","257,12","257,98"
16-Aug-2015,"261,87","262,44","257,04","258,51"
15-Aug-2015,"265,53","266,67","261,3","261,55"
14-Aug-2015,"264,13","267,47","261,48","265,68"
13-Aug-2015,"266,18","266,23","262,84","264,08"
12-Aug-2015,"270,6","270,67","265,47","266,38"
11-Aug-2015,"264,34","270,39","264,09","270,39"
10-Aug-2015,"265,48","267,03","262,6","264,47"
